team,player,pos,club
Netherlands,Jan Paul van Hecke,DF,Brighton & Hove Albion
Netherlands,Justin Kluivert,MF,Bournemouth
Netherlands,Ryan Gravenberch,MF,Liverpool
Netherlands,Wout Weghorst,FW,Ajax
Netherlands,Memphis Depay,FW,Corinthians
Netherlands,Cody Gakpo,FW,Liverpool
Netherlands,Mats Wieffer,DF,Brighton & Hove Albion
Netherlands,Robin Roefs,GK,Sunderland
Netherlands,Tijjani Reijnders,MF,Manchester City
Netherlands,Micky van de Ven,DF,Tottenham Hotspur
Netherlands,Guus Til,MF,PSV Eindhoven
Netherlands,Noa Lang,FW,Galatasaray
Netherlands,Donyell Malen,FW,Roma
Netherlands,Brian Brobbey,FW,Sunderland
Netherlands,Teun Koopmeiners,MF,Juventus
Netherlands,Frenkie de Jong,MF,Barcelona
Netherlands,Denzel Dumfries,DF,Inter Milan
Netherlands,Mark Flekken,GK,Bayer Leverkusen
Netherlands,Crysencio Summerville,FW,West Ham United
Netherlands,Jorrel Hato,DF,Chelsea
Netherlands,Quinten Timber,MF,Marseille
Sweden,Jacob Widell Zetterström,GK,Derby County
Sweden,Gustaf Lagerbielke,DF,Braga
Sweden,Victor Lindelöf,DF,Aston Villa
Sweden,Isak Hien,DF,Atalanta
Sweden,Gabriel Gudmundsson,DF,Leeds United
Sweden,Herman Johansson,DF,FC Dallas
Sweden,Lucas Bergvall,MF,Tottenham Hotspur
Sweden,Daniel Svensson,DF,Borussia Dortmund
Sweden,Alexander Isak,FW,Liverpool
Sweden,Benjamin Nygren,MF,Celtic
Sweden,Anthony Elanga,FW,Newcastle United
Sweden,Viktor Johansson,GK,Stoke City
Sweden,Ken Sema,MF,Pafos
Sweden,Hjalmar Ekdal,DF,Burnley
Sweden,Carl Starfelt,DF,Celta Vigo
Sweden,Jesper Karlström,MF,Udinese
Sweden,Viktor Gyökeres,FW,Arsenal
Sweden,Yasin Ayari,MF,Brighton & Hove Albion
Sweden,Mattias Svanberg,MF,VfL Wolfsburg
Sweden,Eric Smith,DF,FC St. Pauli
Sweden,Alexander Bernhardsson,DF,Holstein Kiel
Sweden,Besfort Zeneli,MF,Union Saint-Gilloise
Sweden,Kristoffer Nordfeldt,GK,AIK
Sweden,Elliot Stroud,DF,Mjällby AIF
Sweden,Gustaf Nilsson,FW,Club Brugge
Sweden,Taha Ali,FW,Malmö FF
Tunisia,Mouhib Chamakh,GK,Club Africain
Tunisia,Ali Abdi,DF,Nice
Tunisia,Montassar Talbi,DF,Lorient
Tunisia,Omar Rekik,DF,Maribor
Tunisia,Adem Arous,DF,Kasımpaşa
Tunisia,Dylan Bronn,DF,Servette
Tunisia,Elias Achouri,FW,Copenhagen
Tunisia,Elias Saad,FW,Hannover 96
Tunisia,Hazem Mastouri,FW,Dynamo Makhachkala
Tunisia,Hannibal Mejbri,MF,Burnley
Tunisia,Ismaël Gharbi,MF,FC Augsburg
Tunisia,Mortadha Ben Ouanes,DF,Kasımpaşa
Tunisia,Rani Khedira,MF,Union Berlin
Tunisia,Khalil Ayari,MF,Paris Saint-Germain
Tunisia,Hadj Mahmoud,MF,Lugano
Tunisia,Aymen Dahmen,GK,CS Sfaxien
Tunisia,Ellyes Skhiri,MF,Eintracht Frankfurt
Tunisia,Rayan Elloumi,FW,Vancouver Whitecaps FC
Tunisia,Firas Chaouat,FW,Club Africain
Tunisia,Yan Valery,DF,Young Boys
Tunisia,Mohamed Amine Ben Hamida,DF,Espérance de Tunis
Tunisia,Sabri Ben Hessen,GK,Étoile du Sahel
Tunisia,Moutaz Neffati,DF,IFK Norrköping
Tunisia,Raed Chikhaoui,DF,US Monastir
Tunisia,Anis Ben Slimane,MF,Norwich City
Tunisia,Sebastian Tounekti,MF,Celtic
Belgium,Thibaut Courtois,GK,Real Madrid
Belgium,Zeno Debast,DF,Sporting CP
Belgium,Arthur Theate,DF,Eintracht Frankfurt
Belgium,Brandon Mechele,DF,Club Brugge
Belgium,Maxim De Cuyper,DF,Brighton & Hove Albion
Belgium,Axel Witsel,MF,Girona
Belgium,Kevin De Bruyne,MF,Napoli
Belgium,Youri Tielemans,MF,Aston Villa
Belgium,Romelu Lukaku,FW,Napoli
Belgium,Leandro Trossard,FW,Arsenal
Belgium,Jérémy Doku,FW,Manchester City
Belgium,Senne Lammens,GK,Manchester United
Belgium,Mike Penders,GK,Strasbourg
Belgium,Dodi Lukébakio,FW,Benfica
Belgium,Thomas Meunier,DF,Lille
Belgium,Koni De Winter,DF,Milan
Belgium,Charles De Ketelaere,FW,Atalanta
Belgium,Joaquin Seys,DF,Club Brugge
Belgium,Diego Moreira,MF,Strasbourg
Belgium,Hans Vanaken,MF,Club Brugge
Belgium,Timothy Castagne,DF,Fulham
Belgium,Alexis Saelemaekers,MF,Milan
Belgium,Nicolas Raskin,MF,Rangers
Belgium,Amadou Onana,MF,Aston Villa
Belgium,Nathan Ngoy,DF,Lille
Belgium,Matias Fernandez-Pardo,FW,Lille
Egypt,Mohamed El Shenawy,GK,Al Ahly
Egypt,Yasser Ibrahim,DF,Al Ahly
Egypt,Mohamed Hany,DF,Al Ahly
Egypt,Hossam Abdelmaguid,DF,Zamalek
Egypt,Ramy Rabia,DF,Al Ain
Egypt,Mohamed Abdelmonem,DF,Nice
Egypt,Trézéguet,FW,Al Ahly
Egypt,Emam Ashour,MF,Al Ahly
Egypt,Hamza Abdelkarim,FW,Barcelona
Egypt,Mohamed Salah,FW,Liverpool
Egypt,Mostafa Ziko,MF,Pyramids
Egypt,Haissem Hassan,FW,Oviedo
Egypt,Ahmed Fatouh,DF,Zamalek
Egypt,Hamdy Fathy,MF,Al-Wakrah
Egypt,Karim Hafez,DF,Pyramids
Egypt,El Mahdy Soliman,GK,Zamalek
Egypt,Mohanad Lasheen,MF,Pyramids
Egypt,Nabil Emad,MF,Al-Najma
Egypt,Marwan Attia,MF,Al Ahly
Egypt,Ibrahim Adel,FW,Nordsjælland
Egypt,Mahmoud Saber,MF,ZED
Egypt,Omar Marmoush,FW,Manchester City
Egypt,Mostafa Shobeir,GK,Al Ahly
Egypt,Tarek Alaa,DF,ZED
Egypt,Zizo,FW,Al Ahly
Egypt,Mohamed Alaa,GK,El Gouna
Iran,Alireza Beiranvand,GK,Tractor
Iran,Saleh Hardani,DF,Esteghlal
Iran,Ehsan Hajsafi,DF,Sepahan
Iran,Shojae Khalilzadeh,DF,Tractor
Iran,Milad Mohammadi,DF,Persepolis
Iran,Saeid Ezatolahi,MF,Shabab Al Ahli
Iran,Alireza Jahanbakhsh,MF,Dender
Iran,Mohammad Mohebi,MF,Rostov
Iran,Mehdi Taremi,FW,Olympiacos
Iran,Mehdi Ghayedi,FW,Al Nasr
Iran,Ali Alipour,FW,Persepolis
Iran,Payam Niazmand,GK,Persepolis
Iran,Hossein Kanaanizadegan,DF,Persepolis
Iran,Saman Ghoddos,MF,Kalba
Iran,Rouzbeh Cheshmi,MF,Esteghlal
Iran,Mehdi Torabi,MF,Tractor
Iran,Aria Yousefi,DF,Sepahan
Iran,Amirhossein Hosseinzadeh,FW,Tractor
Iran,Ali Nemati,DF,Foolad
Iran,Shahriyar Moghanlou,FW,Kalba
Iran,Mohammad Ghorbani,MF,Al Wahda
Iran,Hossein Hosseini,GK,Sepahan
Iran,Ramin Rezaeian,DF,Foolad
Iran,Dennis Eckert,FW,Standard Liège
Iran,Danial Eiri,DF,Malavan
Iran,Amirmohammad Razzaghinia,MF,Esteghlal
New Zealand,Max Crocombe,GK,Millwall
New Zealand,Tim Payne,DF,Wellington Phoenix
New Zealand,Francis de Vries,DF,Auckland FC
New Zealand,Tyler Bindon,DF,Sheffield United
New Zealand,Michael Boxall,DF,Minnesota United FC
New Zealand,Joe Bell,MF,Viking
New Zealand,Matthew Garbett,MF,Peterborough United
New Zealand,Marko Stamenić,MF,Swansea City
New Zealand,Chris Wood,FW,Nottingham Forest
New Zealand,Sarpreet Singh,MF,Wellington Phoenix
New Zealand,Elijah Just,MF,Motherwell
New Zealand,Alex Paulsen,GK,Lechia Gdańsk
New Zealand,Liberato Cacace,DF,Wrexham
New Zealand,Alex Rufer,MF,Wellington Phoenix
New Zealand,Nando Pijnaker,DF,Auckland FC
New Zealand,Finn Surman,DF,Portland Timbers
New Zealand,Kosta Barbarouses,FW,Western Sydney Wanderers
New Zealand,Ben Waine,FW,Port Vale
New Zealand,Ben Old,MF,Saint-Étienne
New Zealand,Callum McCowatt,MF,Silkeborg
New Zealand,Jesse Randall,FW,Auckland FC
New Zealand,Michael Woud,GK,Auckland FC
New Zealand,Ryan Thomas,MF,PEC Zwolle
New Zealand,Callan Elliot,DF,Auckland FC
New Zealand,Lachlan Bayliss,MF,Newcastle Jets
New Zealand,Tommy Smith,DF,Braintree Town
Cape Verde,Vozinha,GK,Chaves
Cape Verde,Stopira,DF,Torreense
Cape Verde,Diney,DF,Al Bataeh
Cape Verde,Roberto Lopes,DF,Shamrock Rovers
Cape Verde,Logan Costa,DF,Villarreal
Cape Verde,Kevin Pina,MF,Krasnodar
Cape Verde,Jovane Cabral,MF,Estrela Amadora
Cape Verde,João Paulo,MF,FCSB
Cape Verde,Gilson Benchimol,FW,Akron Tolyatti
Cape Verde,Jamiro Monteiro,MF,PEC Zwolle
Cape Verde,Garry Rodrigues,MF,Apollon Limassol
Cape Verde,Márcio Rosa,GK,Montana
Cape Verde,Sidny Lopes Cabral,DF,Benfica
Cape Verde,Deroy Duarte,MF,Ludogorets Razgrad
Cape Verde,Laros Duarte,MF,Puskás Akadémia
Cape Verde,Yannick Semedo,MF,Farense
Cape Verde,Willy Semedo,MF,Omonia
Cape Verde,Telmo Arcanjo,MF,Vitória de Guimarães
Cape Verde,Dailon Livramento,FW,Casa Pia
Cape Verde,Ryan Mendes,FW,Iğdır
Cape Verde,Nuno da Costa,MF,İstanbul Başakşehir
Cape Verde,Steven Moreira,DF,Columbus Crew
Cape Verde,CJ dos Santos,GK,San Diego FC
Cape Verde,Wagner Pina,DF,Trabzonspor
Cape Verde,Kelvin Pires,DF,SJK
Cape Verde,Hélio Varela,MF,Maccabi Tel Aviv
Saudi Arabia,Nawaf Al-Aqidi,GK,Al-Nassr
Saudi Arabia,Ali Majrashi,DF,Al-Ahli
Saudi Arabia,Ali Lajami,DF,Al-Hilal
Saudi Arabia,Abdulelah Al-Amri,DF,Al-Nassr
Saudi Arabia,Hassan Al-Tambakti,DF,Al-Hilal
Saudi Arabia,Nasser Al-Dawsari,MF,Al-Hilal
Saudi Arabia,Musab Al-Juwayr,MF,Al-Qadsiah
Saudi Arabia,Ayman Yahya,FW,Al-Nassr
Saudi Arabia,Firas Al-Buraikan,FW,Al-Ahli
Saudi Arabia,Salem Al-Dawsari,FW,Al-Hilal
Saudi Arabia,Saleh Al-Shehri,FW,Al-Ittihad
Saudi Arabia,Saud Abdulhamid,DF,Lens
Saudi Arabia,Nawaf Boushal,DF,Al-Nassr
Saudi Arabia,Hassan Kadesh,DF,Al-Ittihad
Saudi Arabia,Abdullah Al-Khaibari,MF,Al-Nassr
Saudi Arabia,Ziyad Al-Johani,MF,Al-Ahli
Saudi Arabia,Khalid Al-Ghannam,FW,Al-Ettifaq
Saudi Arabia,Alaa Al-Hejji,MF,Neom
Saudi Arabia,Abdullah Al-Hamdan,FW,Al-Nassr
Saudi Arabia,Sultan Mandash,FW,Al-Hilal
Saudi Arabia,Mohammed Al-Owais,GK,Al-Ula
Saudi Arabia,Ahmed Al-Kassar,GK,Al-Qadsiah
Saudi Arabia,Mohamed Kanno,MF,Al-Hilal
Saudi Arabia,Moteb Al-Harbi,DF,Al-Hilal
Saudi Arabia,Jehad Thakri,DF,Al-Qadsiah
Saudi Arabia,Mohammed Abu Al-Shamat,DF,Al-Qadsiah
Spain,David Raya,GK,Arsenal
Spain,Marc Pubill,DF,Atlético Madrid
Spain,Álex Grimaldo,DF,Bayer Leverkusen
Spain,Eric García,DF,Barcelona
Spain,Marcos Llorente,DF,Atlético Madrid
Spain,Mikel Merino,MF,Arsenal
Spain,Ferran Torres,FW,Barcelona
Spain,Fabián Ruiz,MF,Paris Saint-Germain
Spain,Gavi,MF,Barcelona
Spain,Dani Olmo,FW,Barcelona
Spain,Yéremy Pino,FW,Crystal Palace
Spain,Pedro Porro,DF,Tottenham Hotspur
Spain,Joan Garcia,GK,Barcelona
Spain,Aymeric Laporte,DF,Athletic Bilbao
Spain,Álex Baena,MF,Atlético Madrid
Spain,Rodri,MF,Manchester City
Spain,Nico Williams,FW,Athletic Bilbao
Spain,Martín Zubimendi,MF,Arsenal
Spain,Lamine Yamal,FW,Barcelona
Spain,Pedri,MF,Barcelona
Spain,Mikel Oyarzabal,FW,Real Sociedad
Spain,Pau Cubarsí,DF,Barcelona
Spain,Unai Simón,GK,Athletic Bilbao
Spain,Marc Cucurella,DF,Chelsea
Spain,Víctor Muñoz,FW,Osasuna
Spain,Borja Iglesias,FW,Celta Vigo
Uruguay,Sergio Rochet,GK,Internacional
Uruguay,José Giménez,DF,Atlético Madrid
Uruguay,Sebastián Cáceres,DF,América
Uruguay,Ronald Araújo,DF,Barcelona
Uruguay,Manuel Ugarte,MF,Manchester United
Uruguay,Rodrigo Bentancur,MF,Tottenham Hotspur
Uruguay,Nicolás de la Cruz,MF,Flamengo
Uruguay,Federico Valverde,MF,Real Madrid
Uruguay,Darwin Núñez,FW,Al-Hilal
Uruguay,Giorgian de Arrascaeta,MF,Flamengo
Uruguay,Facundo Pellistri,FW,Panathinaikos
Uruguay,Santiago Mele,GK,Monterrey
Uruguay,Guillermo Varela,DF,Flamengo
Uruguay,Agustín Canobbio,MF,Fluminense
Uruguay,Emiliano Martínez,MF,Palmeiras
Uruguay,Mathías Olivera,DF,Napoli
Uruguay,Matías Viña,DF,River Plate
Uruguay,Brian Rodríguez,FW,América
Uruguay,Rodrigo Aguirre,FW,UANL
Uruguay,Maximiliano Araújo,MF,Sporting CP
Uruguay,Federico Viñas,FW,Oviedo
Uruguay,Joaquín Piquerez,MF,Palmeiras
Uruguay,Fernando Muslera,GK,Estudiantes
Uruguay,Santiago Bueno,DF,Wolverhampton Wanderers
Uruguay,Juan Manuel Sanabria,MF,Real Salt Lake
Uruguay,Rodrigo Zalazar,MF,Braga
France,Brice Samba,GK,Rennes
France,Malo Gusto,DF,Chelsea
France,Lucas Digne,DF,Aston Villa
France,Dayot Upamecano,DF,Bayern Munich
France,Jules Koundé,DF,Barcelona
France,Manu Koné,MF,Roma
France,Ousmane Dembélé,FW,Paris Saint-Germain
France,Aurélien Tchouaméni,MF,Real Madrid
France,Marcus Thuram,FW,Inter Milan
France,Kylian Mbappé,FW,Real Madrid
France,Michael Olise,FW,Bayern Munich
France,Bradley Barcola,FW,Paris Saint-Germain
France,N'Golo Kanté,MF,Fenerbahçe
France,Adrien Rabiot,MF,Milan
France,Ibrahima Konaté,DF,Liverpool
France,Mike Maignan,GK,Milan
France,William Saliba,DF,Arsenal
France,Warren Zaïre-Emery,MF,Paris Saint-Germain
France,Théo Hernandez,DF,Al-Hilal
France,Désiré Doué,FW,Paris Saint-Germain
France,Lucas Hernandez,DF,Paris Saint-Germain
France,Jean-Philippe Mateta,FW,Crystal Palace
France,Robin Risser,GK,Lens
France,Rayan Cherki,MF,Manchester City
France,Maghnes Akliouche,MF,Monaco
France,Maxence Lacroix,DF,Crystal Palace
Iraq,Fahad Talib,GK,Al-Talaba
Iraq,Rebin Sulaka,DF,Port
Iraq,Hussein Ali,DF,Pogoń Szczecin
Iraq,Zaid Tahseen,DF,Pakhtakor
Iraq,Akam Hashim,DF,Al-Zawraa
Iraq,Manaf Younis,DF,Al-Shorta
Iraq,Youssef Amyn,MF,AEK Larnaca
Iraq,Ibrahim Bayesh,MF,Al Dhafra
Iraq,Ali Al-Hamadi,FW,Luton Town
Iraq,Mohanad Ali,FW,Dibba
Iraq,Ahmed Qasem,FW,Nashville SC
Iraq,Jalal Hassan,GK,Al-Zawraa
Iraq,Ali Yousif,FW,Al-Talaba
Iraq,Zidane Iqbal,MF,Utrecht
Iraq,Ahmed Yahya,DF,Al-Shorta
Iraq,Amir Al-Ammari,MF,Cracovia
Iraq,Ali Jasim,FW,Al-Najma
Iraq,Aymen Hussein,FW,Al-Karma
Iraq,Kevin Yakob,MF,AGF
Iraq,Aimar Sher,MF,Sarpsborg 08
Iraq,Marko Farji,FW,Venezia
Iraq,Ahmed Basil,GK,Al-Shorta
Iraq,Merchas Doski,DF,Viktoria Plzeň
Iraq,Zaid Ismail,MF,Al-Talaba
Iraq,Mustafa Saadoon,DF,Al-Shorta
Iraq,Frans Putros,DF,Persib
Norway,Ørjan Nyland,GK,Sevilla
Norway,Morten Thorsby,MF,Cremonese
Norway,Kristoffer Ajer,DF,Brentford
Norway,Leo Østigård,DF,Genoa
Norway,David Møller Wolfe,DF,Wolverhampton Wanderers
Norway,Patrick Berg,MF,Bodø/Glimt
Norway,Alexander Sørloth,FW,Atlético Madrid
Norway,Sander Berge,MF,Fulham
Norway,Erling Haaland,FW,Manchester City
Norway,Martin Ødegaard,MF,Arsenal
Norway,Jørgen Strand Larsen,FW,Crystal Palace
Norway,Sander Tangvik,GK,Hamburger SV
Norway,Egil Selvik,GK,Watford
Norway,Fredrik Aursnes,MF,Benfica
Norway,Fredrik André Bjørkan,DF,Bodø/Glimt
Norway,Marcus Holmgren Pedersen,DF,Torino
Norway,Torbjørn Heggem,DF,Bologna
Norway,Kristian Thorstvedt,MF,Sassuolo
Norway,Thelo Aasgaard,MF,Rangers
Norway,Antonio Nusa,FW,RB Leipzig
Norway,Andreas Schjelderup,MF,Benfica
Norway,Oscar Bobb,MF,Fulham
Norway,Jens Petter Hauge,MF,Bodø/Glimt
Norway,Sondre Langås,DF,Derby County
Norway,Henrik Falchener,DF,Viking
Norway,Julian Ryerson,FW,Borussia Dortmund
Senegal,Yehvann Diouf,GK,Nice
Senegal,Mamadou Sarr,DF,Chelsea
Senegal,Kalidou Koulibaly,DF,Al-Hilal
Senegal,Abdoulaye Seck,DF,Maccabi Haifa
Senegal,Idrissa Gueye,MF,Everton
Senegal,Pathé Ciss,MF,Rayo Vallecano
Senegal,Assane Diao,FW,Como
Senegal,Lamine Camara,MF,Monaco
Senegal,Bamba Dieng,FW,Lorient
Senegal,Sadio Mané,FW,Al-Nassr
Senegal,Nicolas Jackson,FW,Bayern Munich
Senegal,Cherif Ndiaye,FW,Samsunspor
Senegal,Iliman Ndiaye,FW,Everton
Senegal,Ismail Jakobs,DF,Galatasaray
Senegal,Krépin Diatta,DF,Monaco
Senegal,Édouard Mendy,GK,Al-Ahli
Senegal,Pape Matar Sarr,MF,Tottenham Hotspur
Senegal,Ismaïla Sarr,FW,Crystal Palace
Senegal,Moussa Niakhaté,DF,Lyon
Senegal,Ibrahim Mbaye,FW,Paris Saint-Germain
Senegal,Habib Diarra,MF,Sunderland
Senegal,Bara Sapoko Ndiaye,MF,Bayern Munich
Senegal,Mory Diaw,GK,Le Havre
Senegal,Antoine Mendy,DF,Nice
Senegal,El Hadji Malick Diouf,DF,West Ham United
Senegal,Pape Gueye,MF,Villarreal
Algeria,Melvin Mastil,GK,Stade Nyonnais
Algeria,Aïssa Mandi,DF,Lille
Algeria,Achref Abada,DF,USM Alger
Algeria,Mohamed Amine Tougai,DF,Espérance de Tunis
Algeria,Zineddine Belaïd,DF,JS Kabylie
Algeria,Ramiz Zerrouki,MF,Twente
Algeria,Riyad Mahrez,FW,Al-Ahli
Algeria,Houssem Aouar,MF,Al-Ittihad
Algeria,Amine Gouiri,FW,Marseille
Algeria,Farès Chaïbi,MF,Eintracht Frankfurt
Algeria,Anis Hadj Moussa,FW,Feyenoord
Algeria,Nadhir Benbouali,FW,Győri ETO
Algeria,Jaouen Hadjam,DF,Young Boys
Algeria,Hicham Boudaoui,MF,Nice
Algeria,Rayan Aït-Nouri,DF,Manchester City
Algeria,Oussama Benbot,GK,USM Alger
Algeria,Rafik Belghali,DF,Hellas Verona
Algeria,Mohamed Amoura,FW,VfL Wolfsburg
Algeria,Nabil Bentaleb,MF,Lille
Algeria,Adil Boulbina,FW,Al-Duhail
Algeria,Ramy Bensebaini,DF,Borussia Dortmund
Algeria,Ibrahim Maza,MF,Bayer Leverkusen
Algeria,Luca Zidane,GK,Granada
Algeria,Yacine Titraoui,MF,Charleroi
Algeria,Farès Ghedjemis,FW,Frosinone
Algeria,Samir Chergui,DF,Paris FC
Argentina,Juan Musso,GK,Atlético Madrid
Argentina,Leonardo Balerdi,DF,Marseille
Argentina,Nicolás Tagliafico,DF,Lyon
Argentina,Gonzalo Montiel,DF,River Plate
Argentina,Leandro Paredes,MF,Boca Juniors
Argentina,Lisandro Martínez,DF,Manchester United
Argentina,Rodrigo De Paul,MF,Inter Miami CF
Argentina,Valentín Barco,MF,Strasbourg
Argentina,Julián Alvarez,FW,Atlético Madrid
Argentina,Lionel Messi,FW,Inter Miami CF
Argentina,Giovani Lo Celso,MF,Real Betis
Argentina,Gerónimo Rulli,GK,Marseille
Argentina,Cristian Romero,DF,Tottenham Hotspur
Argentina,Exequiel Palacios,MF,Bayer Leverkusen
Argentina,Nicolás González,MF,Atlético Madrid
Argentina,Thiago Almada,FW,Atlético Madrid
Argentina,Giuliano Simeone,FW,Atlético Madrid
Argentina,Nico Paz,FW,Como
Argentina,Nicolás Otamendi,DF,Benfica
Argentina,Alexis Mac Allister,MF,Liverpool
Argentina,José Manuel López,FW,Palmeiras
Argentina,Lautaro Martínez,FW,Inter Milan
Argentina,Emiliano Martínez,GK,Aston Villa
Argentina,Enzo Fernández,MF,Chelsea
Argentina,Facundo Medina,DF,Marseille
Argentina,Nahuel Molina,DF,Atlético Madrid
Austria,Alexander Schlager,GK,Red Bull Salzburg
Austria,David Affengruber,DF,Elche
Austria,Kevin Danso,DF,Tottenham Hotspur
Austria,Xaver Schlager,MF,RB Leipzig
Austria,Stefan Posch,DF,Mainz 05
Austria,Nicolas Seiwald,MF,RB Leipzig
Austria,Marko Arnautović,FW,Red Star Belgrade
Austria,David Alaba,DF,Real Madrid
Austria,Marcel Sabitzer,MF,Borussia Dortmund
Austria,Florian Grillitsch,MF,Braga
Austria,Michael Gregoritsch,FW,FC Augsburg
Austria,Florian Wiegele,GK,Viktoria Plzeň
Austria,Patrick Pentz,GK,Brøndby
Austria,Saša Kalajdžić,FW,LASK
Austria,Philipp Lienhart,DF,SC Freiburg
Austria,Phillipp Mwene,DF,Mainz 05
Austria,Carney Chukwuemeka,MF,Borussia Dortmund
Austria,Romano Schmid,MF,Werder Bremen
Austria,Konrad Laimer,MF,Bayern Munich
Austria,Patrick Wimmer,FW,VfL Wolfsburg
Austria,Alexander Prass,MF,TSG Hoffenheim
Austria,Marco Friedl,DF,Werder Bremen
Austria,Paul Wanner,MF,PSV Eindhoven
Austria,Michael Svoboda,DF,Venezia
Austria,Alessandro Schöpf,MF,Wolfsberger AC
Jordan,Yazeed Abulaila,GK,Al-Hussein
Jordan,Mohammad Abu Hashish,DF,Al-Karma
Jordan,Abdallah Nasib,DF,Al-Zawraa
Jordan,Husam Abu Dahab,DF,Al-Faisaly
Jordan,Yazan Al-Arab,DF,FC Seoul
Jordan,Amer Jamous,MF,Al-Zawraa
Jordan,Mohammad Abu Zrayq,FW,Raja Casablanca
Jordan,Noor Al-Rawabdeh,MF,Selangor
Jordan,Ali Olwan,FW,Al-Sailiya
Jordan,Musa Al-Taamari,FW,Rennes
Jordan,Odeh Al-Fakhouri,FW,Pyramids
Jordan,Nour Bani Attiah,GK,Al-Faisaly
Jordan,Mahmoud Al-Mardi,FW,Al-Hussein
Jordan,Rajaei Ayed,MF,Al-Hussein
Jordan,Ibrahim Sadeh,MF,Al-Karma
Jordan,Mo Abualnadi,DF,Selangor
Jordan,Salim Obaid,DF,Al-Hussein
Jordan,Saed Al-Rosan,DF,Al-Hussein
Jordan,Mohannad Abu Taha,MF,Al-Quwa Al-Jawiya
Jordan,Nizar Al-Rashdan,MF,Qatar SC
Jordan,Abdallah Al-Fakhouri,GK,Al-Wehdat
Jordan,Ihsan Haddad,DF,Al-Hussein
Jordan,Ali Azaizeh,FW,Al-Shabab
Jordan,Mohammad Al-Dawoud,MF,Al-Wehdat
Jordan,Anas Badawi,DF,Al-Faisaly
Colombia,David Ospina,GK,Atlético Nacional
Colombia,Daniel Muñoz,DF,Crystal Palace
Colombia,Jhon Lucumí,DF,Bologna
Colombia,Santiago Arias,DF,Independiente
Colombia,Kevin Castaño,MF,River Plate
Colombia,Richard Ríos,MF,Benfica
Colombia,Luis Díaz,FW,Bayern Munich
Colombia,Jorge Carrascal,MF,Flamengo
Colombia,Jhon Córdoba,FW,Krasnodar
Colombia,James Rodríguez,MF,Minnesota United FC
Colombia,Jhon Arias,MF,Palmeiras
Colombia,Camilo Vargas,GK,Atlas
Colombia,Yerry Mina,DF,Cagliari
Colombia,Gustavo Puerta,DF,Racing Santander
Colombia,Juan Portilla,MF,Athletico Paranaense
Colombia,Jefferson Lerma,MF,Crystal Palace
Colombia,Johan Mojica,DF,Mallorca
Colombia,Willer Ditta,DF,Cruz Azul
Colombia,Cucho Hernández,FW,Real Betis
Colombia,Juan Fernando Quintero,MF,River Plate
Colombia,Jaminton Campaz,FW,Rosario Central
Colombia,Deiver Machado,DF,Nantes
Colombia,Davinson Sánchez,DF,Galatasaray
Colombia,Álvaro Montero,GK,Vélez Sarsfield
Colombia,Luis Suárez,FW,Sporting CP
Colombia,Andrés Gómez,FW,Vasco da Gama
DR Congo,Lionel Mpasi,GK,Le Havre
DR Congo,Aaron Wan-Bissaka,DF,West Ham United
DR Congo,Steve Kapuadi,DF,Widzew Łódź
DR Congo,Axel Tuanzebe,DF,Burnley
DR Congo,Dylan Batubinsika,DF,AEL
DR Congo,Ngal'ayel Mukau,MF,Lille
DR Congo,Nathanaël Mbuku,MF,Montpellier
DR Congo,Samuel Moutoussamy,MF,Atromitos
DR Congo,Brian Cipenga,FW,Castellón
DR Congo,Théo Bongonda,MF,Spartak Moscow
DR Congo,Gaël Kakuta,FW,AEL
DR Congo,Joris Kayembe,DF,Genk
DR Congo,Meschak Elia,FW,Alanyaspor
DR Congo,Noah Sadiki,MF,Sunderland
DR Congo,Aaron Tshibola,MF,Kilmarnock
DR Congo,Timothy Fayulu,GK,Noah
DR Congo,Cédric Bakambu,FW,Real Betis
DR Congo,Charles Pickel,MF,Espanyol
DR Congo,Fiston Mayele,FW,Pyramids
DR Congo,Yoane Wissa,FW,Newcastle United
DR Congo,Matthieu Epolo,GK,Standard Liège
DR Congo,Chancel Mbemba,DF,Lille
DR Congo,Simon Banza,FW,Al Jazira
DR Congo,Gédéon Kalulu,DF,Aris Limassol
DR Congo,Edo Kayembe,MF,Watford
DR Congo,Arthur Masuaku,DF,Lens
Portugal,Diogo Costa,GK,Porto
Portugal,Nélson Semedo,DF,Fenerbahçe
Portugal,Rúben Dias,DF,Manchester City
Portugal,Tomás Araújo,DF,Benfica
Portugal,Diogo Dalot,DF,Manchester United
Portugal,Matheus Nunes,MF,Manchester City
Portugal,Cristiano Ronaldo,FW,Al-Nassr
Portugal,Bruno Fernandes,MF,Manchester United
Portugal,Gonçalo Ramos,FW,Paris Saint-Germain
Portugal,Bernardo Silva,MF,Manchester City
Portugal,João Félix,FW,Al-Nassr
Portugal,José Sá,GK,Wolverhampton Wanderers
Portugal,Renato Veiga,DF,Villarreal
Portugal,Gonçalo Inácio,DF,Sporting CP
Portugal,João Neves,MF,Paris Saint-Germain
Portugal,Francisco Trincão,FW,Sporting CP
Portugal,Rafael Leão,FW,Milan
Portugal,Pedro Neto,FW,Chelsea
Portugal,Gonçalo Guedes,FW,Real Sociedad
Portugal,João Cancelo,DF,Barcelona
Portugal,Rúben Neves,MF,Al-Hilal
Portugal,Rui Silva,GK,Sporting CP
